repeticiones filas area tiempo iteraciones
2 5171 26739241 2.0014 6682225
3 5171 26739241 1.5620 6682225
4 5171 26739241 2.4497 6682225
5 5171 26739241 2.2403 6682225
1 5221 27258841 1.0757 6812100
2 5221 27258841 1.2274 6812100
3 5221 27258841 1.0957 6812100
4 5221 27258841 1.0427 6812100
5 5221 27258841 1.6255 6812100
1 5271 27783441 2.1440 6943225
2 5271 27783441 1.8342 6943225
3 5271 27783441 0.9825 6943225
4 5271 27783441 1.0115 6943225
5 5271 27783441 1.1140 6943225
1 5321 28313041 2.0351 7075600
2 5321 28313041 0.9988 7075600
3 5321 28313041 1.0148 7075600
4 5321 28313041 1.0918 7075600
5 5321 28313041 1.0922 7075600
1 5371 28847641 1.1022 7209225
2 5371 28847641 1.7283 7209225
3 5371 28847641 2.0257 7209225
4 5371 28847641 1.3381 7209225
5 5371 28847641 1.0855 7209225
1 5421 29387241 1.0522 7344100
2 5421 29387241 1.3257 7344100
3 5421 29387241 1.2287 7344100
4 5421 29387241 1.1645 7344100
5 5421 29387241 1.0920 7344100
1 5471 29931841 1.5873 7480225
2 5471 29931841 2.0841 7480225
3 5471 29931841 1.9833 7480225
4 5471 29931841 1.6465 7480225
5 5471 29931841 1.3800 7480225
1 5521 30481441 1.3650 7617600
2 5521 30481441 1.2049 7617600
3 5521 30481441 1.5108 7617600
4 5521 30481441 2.3044 7617600
5 5521 30481441 2.7160 7617600
1 5571 31036041 2.0366 7756225
2 5571 31036041 1.4959 7756225
3 5571 31036041 1.2234 7756225
4 5571 31036041 1.2497 7756225
5 5571 31036041 2.1950 7756225
1 5621 31595641 1.6522 7896100
2 5621 31595641 1.1737 7896100
3 5621 31595641 1.1515 7896100
4 5621 31595641 1.2569 7896100
5 5621 31595641 1.2164 7896100
1 5671 32160241 1.1730 8037225
2 5671 32160241 1.2674 8037225
3 5671 32160241 1.2206 8037225
4 5671 32160241 1.2267 8037225
5 5671 32160241 1.1757 8037225
1 5721 32729841 1.2523 8179600
2 5721 32729841 1.3688 8179600
3 5721 32729841 1.2820 8179600
4 5721 32729841 1.2522 8179600
5 5721 32729841 1.2472 8179600
1 5771 33304441 1.2756 8323225
2 5771 33304441 1.3485 8323225
3 5771 33304441 1.5665 8323225
4 5771 33304441 1.4508 8323225
5 5771 33304441 1.1959 8323225
1 5821 33884041 1.3191 8468100
2 5821 33884041 1.3154 8468100
3 5821 33884041 1.2537 8468100
4 5821 33884041 1.2877 8468100
5 5821 33884041 1.3824 8468100
1 5871 34468641 1.3623 8614225
2 5871 34468641 1.3231 8614225
3 5871 34468641 1.2698 8614225
4 5871 34468641 1.2920 8614225
5 5871 34468641 1.3454 8614225
1 5921 35058241 1.3460 8761600
2 5921 35058241 1.3296 8761600
3 5921 35058241 1.3281 8761600
4 5921 35058241 1.2990 8761600
5 5921 35058241 1.3565 8761600
1 5971 35652841 1.6313 8910225
2 5971 35652841 1.3873 8910225
3 5971 35652841 1.3919 8910225
4 5971 35652841 1.3596 8910225
5 5971 35652841 1.3175 8910225
1 6021 36252441 1.3461 9060100
2 6021 36252441 1.3534 9060100
3 6021 36252441 1.3821 9060100
4 6021 36252441 1.3815 9060100
5 6021 36252441 1.3467 9060100
1 6071 36857041 1.3678 9211225
2 6071 36857041 1.4012 9211225
3 6071 36857041 1.3914 9211225
4 6071 36857041 1.4030 9211225
5 6071 36857041 1.4918 9211225
1 6121 37466641 1.4469 9363600
2 6121 37466641 1.4256 9363600
3 6121 37466641 1.3676 9363600
4 6121 37466641 1.3914 9363600
5 6121 37466641 1.4296 9363600
1 6171 38081241 1.4478 9517225
2 6171 38081241 1.5625 9517225
3 6171 38081241 1.7739 9517225
4 6171 38081241 1.7838 9517225
5 6171 38081241 1.5880 9517225
1 6221 38700841 1.5190 9672100
2 6221 38700841 1.4786 9672100
3 6221 38700841 1.5345 9672100
4 6221 38700841 1.4789 9672100
5 6221 38700841 1.5372 9672100
1 6271 39325441 1.4764 9828225
2 6271 39325441 1.4494 9828225
3 6271 39325441 1.4491 9828225
4 6271 39325441 1.4786 9828225
5 6271 39325441 1.4957 9828225
1 6321 39955041 1.5264 9985600
2 6321 39955041 1.5509 9985600
3 6321 39955041 1.5105 9985600
4 6321 39955041 1.5865 9985600
5 6321 39955041 2.3806 9985600
1 6371 40589641 1.9927 10144225
2 6371 40589641 1.7801 10144225
3 6371 40589641 1.5213 10144225
4 6371 40589641 1.5304 10144225
5 6371 40589641 1.4977 10144225
1 6421 41229241 1.5541 10304100
2 6421 41229241 1.5248 10304100
3 6421 41229241 1.5571 10304100
4 6421 41229241 1.5613 10304100
5 6421 41229241 1.4998 10304100
1 6471 41873841 1.5081 10465225
2 6471 41873841 1.6371 10465225
3 6471 41873841 1.5589 10465225
4 6471 41873841 2.4182 10465225
5 6471 41873841 2.7872 10465225
1 6521 42523441 3.8619 10627600
2 6521 42523441 3.2305 10627600
3 6521 42523441 2.6607 10627600
4 6521 42523441 2.6125 10627600
5 6521 42523441 2.5298 10627600
1 6571 43178041 2.1987 10791225
2 6571 43178041 1.7763 10791225
3 6571 43178041 1.7169 10791225
4 6571 43178041 1.7085 10791225
5 6571 43178041 1.6737 10791225
1 6621 43837641 2.0981 10956100
2 6621 43837641 1.7675 10956100
3 6621 43837641 1.6644 10956100
4 6621 43837641 1.6543 10956100
5 6621 43837641 1.7254 10956100
1 6671 44502241 1.6949 11122225
2 6671 44502241 1.6653 11122225
3 6671 44502241 1.9186 11122225
4 6671 44502241 1.7234 11122225
5 6671 44502241 1.7143 11122225
1 6721 45171841 1.7760 11289600
2 6721 45171841 1.7279 11289600
3 6721 45171841 1.7548 11289600
4 6721 45171841 1.7076 11289600
5 6721 45171841 1.7044 11289600
1 6771 45846441 1.7838 11458225
2 6771 45846441 1.8023 11458225
3 6771 45846441 1.7879 11458225
4 6771 45846441 1.7715 11458225
5 6771 45846441 1.7670 11458225
1 6821 46526041 1.9555 11628100
2 6821 46526041 2.1875 11628100
3 6821 46526041 1.7680 11628100
4 6821 46526041 1.7863 11628100
5 6821 46526041 1.8944 11628100
1 6871 47210641 1.7527 11799225
2 6871 47210641 1.8082 11799225
3 6871 47210641 1.7628 11799225
4 6871 47210641 1.8662 11799225
5 6871 47210641 1.7963 11799225
1 6921 47900241 1.8640 11971600
2 6921 47900241 1.8587 11971600
3 6921 47900241 1.8431 11971600
4 6921 47900241 1.8127 11971600
5 6921 47900241 1.8197 11971600
1 6971 48594841 1.8300 12145225
2 6971 48594841 1.8459 12145225
3 6971 48594841 1.8398 12145225
4 6971 48594841 1.8151 12145225
5 6971 48594841 1.7817 12145225
1 7021 49294441 1.8618 12320100
2 7021 49294441 1.8282 12320100
3 7021 49294441 1.9165 12320100
4 7021 49294441 1.8642 12320100
5 7021 49294441 1.8447 12320100
1 7071 49999041 1.8924 12496225
2 7071 49999041 1.8574 12496225
3 7071 49999041 1.8863 12496225
4 7071 49999041 1.8866 12496225
5 7071 49999041 1.9246 12496225
1 7121 50708641 1.9322 12673600
2 7121 50708641 1.9040 12673600
3 7121 50708641 1.9180 12673600
4 7121 50708641 1.9023 12673600
5 7121 50708641 1.9209 12673600
1 7171 51423241 1.9231 12852225
2 7171 51423241 1.9679 12852225
3 7171 51423241 1.9860 12852225
4 7171 51423241 2.0289 12852225
5 7171 51423241 2.2497 12852225
1 7221 52142841 2.5278 13032100
2 7221 52142841 2.4562 13032100
3 7221 52142841 2.0857 13032100
4 7221 52142841 2.1571 13032100
5 7221 52142841 2.2664 13032100
1 7271 52867441 2.0325 13213225
2 7271 52867441 1.9782 13213225
3 7271 52867441 2.0165 13213225
4 7271 52867441 2.0275 13213225
5 7271 52867441 1.9651 13213225
1 7321 53597041 2.0467 13395600
2 7321 53597041 2.0132 13395600
3 7321 53597041 2.0734 13395600
4 7321 53597041 2.0130 13395600
5 7321 53597041 1.9907 13395600
1 7371 54331641 2.0321 13579225
2 7371 54331641 2.0618 13579225
3 7371 54331641 2.0358 13579225
4 7371 54331641 1.9981 13579225
5 7371 54331641 2.0574 13579225
1 7421 55071241 2.0665 13764100
2 7421 55071241 2.0937 13764100
3 7421 55071241 2.0692 13764100
4 7421 55071241 2.0954 13764100
5 7421 55071241 2.1066 13764100
