repeticiones filas area tiempo iteraciones
2 4621 21353641 1.5510 10672101
3 4621 21353641 1.5840 10672075
4 4621 21353641 1.5680 10672063
5 4621 21353641 1.5640 10672075
1 4671 21818241 1.5800 10904333
2 4671 21818241 1.6090 10904345
3 4671 21818241 1.6070 10904353
4 4671 21818241 1.5980 10904301
5 4671 21818241 1.5880 10904319
1 4721 22287841 1.6470 11139045
2 4721 22287841 1.6340 11139045
3 4721 22287841 1.6660 11139079
4 4721 22287841 1.5750 11139103
5 4721 22287841 1.6900 11139079
1 4771 22762441 1.6420 11376369
2 4771 22762441 1.6480 11376311
3 4771 22762441 1.6580 11376317
4 4771 22762441 1.6690 11376337
5 4771 22762441 1.6700 11376317
1 4821 23242041 1.6920 11616083
2 4821 23242041 1.6990 11616059
3 4821 23242041 1.6380 11616093
4 4821 23242041 1.6870 11616091
5 4821 23242041 1.7190 11616093
1 4871 23726641 1.7420 11858329
2 4871 23726641 1.7210 11858331
3 4871 23726641 1.7710 11858307
4 4871 23726641 1.8070 11858289
5 4871 23726641 1.7050 11858319
1 4921 24216241 1.8170 12103065
2 4921 24216241 1.7950 12103085
3 4921 24216241 1.7700 12103087
4 4921 24216241 1.7870 12103079
5 4921 24216241 1.7920 12103063
1 4971 24710841 1.7930 12350301
2 4971 24710841 1.8260 12350295
3 4971 24710841 1.8130 12350305
4 4971 24710841 1.8340 12350339
5 4971 24710841 1.7570 12350327
1 5021 25210441 1.8290 12600069
2 5021 25210441 1.8440 12600065
3 5021 25210441 1.8260 12600115
4 5021 25210441 1.8120 12600101
5 5021 25210441 1.8540 12600099
1 5071 25715041 1.9080 12852321
2 5071 25715041 1.9050 12852293
3 5071 25715041 1.8460 12852305
4 5071 25715041 1.8900 12852335
5 5071 25715041 1.8650 12852353
1 5121 26224641 1.9260 13107061
2 5121 26224641 1.9090 13107059
3 5121 26224641 1.8900 13107035
4 5121 26224641 1.8840 13107055
5 5121 26224641 1.9590 13107057
1 5171 26739241 1.9550 13364269
2 5171 26739241 1.9960 13364291
3 5171 26739241 1.9670 13364289
4 5171 26739241 2.1450 13364307
5 5171 26739241 2.0300 13364233
1 5221 27258841 1.9970 13624051
2 5221 27258841 2.9880 13624091
3 5221 27258841 2.4390 13624029
4 5221 27258841 2.0240 13624055
5 5221 27258841 1.9850 13624057
1 5271 27783441 2.1100 13886347
2 5271 27783441 2.0110 13886317
3 5271 27783441 2.0460 13886321
4 5271 27783441 2.0300 13886325
5 5271 27783441 2.0020 13886297
1 5321 28313041 2.1530 14151061
2 5321 28313041 2.0600 14151025
3 5321 28313041 2.0880 14151023
4 5321 28313041 2.0990 14151027
5 5321 28313041 2.0750 14151051
1 5371 28847641 2.0960 14418269
2 5371 28847641 2.2890 14418311
3 5371 28847641 2.1620 14418305
4 5371 28847641 2.1690 14418271
5 5371 28847641 2.1250 14418283
1 5421 29387241 2.1650 14688031
2 5421 29387241 2.1200 14688053
3 5421 29387241 2.1630 14688053
4 5421 29387241 2.1090 14688021
5 5421 29387241 2.2010 14688055
1 5471 29931841 2.2130 14960287
2 5471 29931841 2.2090 14960281
3 5471 29931841 2.1930 14960299
4 5471 29931841 2.1600 14960293
5 5471 29931841 2.2400 14960313
1 5521 30481441 2.2070 15235059
2 5521 30481441 2.2400 15235027
3 5521 30481441 2.2450 15235009
4 5521 30481441 2.2620 15235029
5 5521 30481441 2.2720 15235051
1 5571 31036041 2.2930 15512287
2 5571 31036041 2.3050 15512279
3 5571 31036041 2.2300 15512279
4 5571 31036041 2.2560 15512301
5 5571 31036041 2.2340 15512299
1 5621 31595641 2.3210 15792055
2 5621 31595641 2.3060 15792003
3 5621 31595641 2.3080 15791991
4 5621 31595641 2.3150 15792039
5 5621 31595641 2.3680 15791999
1 5671 32160241 2.3780 16074239
2 5671 32160241 2.4250 16074277
3 5671 32160241 2.3730 16074265
4 5671 32160241 2.4200 16074271
5 5671 32160241 2.7660 16074291
1 5721 32729841 2.4760 16358985
2 5721 32729841 2.5100 16359023
3 5721 32729841 2.4530 16359005
4 5721 32729841 2.7410 16358997
5 5721 32729841 2.7860 16359007
1 5771 33304441 2.6860 16646291
2 5771 33304441 2.5800 16646267
3 5771 33304441 2.5390 16646239
4 5771 33304441 2.5450 16646279
5 5771 33304441 2.5100 16646275
1 5821 33884041 2.6160 16935983
2 5821 33884041 2.4520 16936103
3 5821 33884041 2.5670 16935977
4 5821 33884041 2.4190 16936009
5 5821 33884041 2.5210 16936055
1 5871 34468641 2.5230 17228261
2 5871 34468641 2.5360 17228219
3 5871 34468641 2.4910 17228281
4 5871 34468641 2.6040 17228243
5 5871 34468641 2.4980 17228275
1 5921 35058241 2.5640 17523031
2 5921 35058241 2.5600 17522979
3 5921 35058241 2.5830 17523037
4 5921 35058241 2.5180 17523059
5 5921 35058241 2.5930 17522995
1 5971 35652841 2.5460 17820287
2 5971 35652841 2.6030 17820287
3 5971 35652841 2.6090 17820229
4 5971 35652841 2.6370 17820281
5 5971 35652841 2.6160 17820229
1 6021 36252441 2.6600 18120027
2 6021 36252441 2.7060 18120009
3 6021 36252441 2.6340 18119977
4 6021 36252441 2.6920 18120015
5 6021 36252441 2.6730 18119977
1 6071 36857041 2.7190 18422279
2 6071 36857041 2.6450 18422233
3 6071 36857041 2.7680 18422273
4 6071 36857041 2.6490 18422295
5 6071 36857041 2.7370 18422241
1 6121 37466641 2.7130 18727037
2 6121 37466641 2.8660 18726995
3 6121 37466641 2.7650 18726997
4 6121 37466641 2.7850 18726929
5 6121 37466641 2.7230 18727009
1 6171 38081241 2.8160 19034227
2 6171 38081241 2.8240 19034285
3 6171 38081241 2.8570 19034217
4 6171 38081241 2.7530 19034295
5 6171 38081241 2.7630 19034245
1 6221 38700841 2.8830 19344021
2 6221 38700841 2.8200 19344011
3 6221 38700841 2.8200 19343983
4 6221 38700841 2.8240 19343945
5 6221 38700841 2.8160 19343999
1 6271 39325441 2.9400 19656211
2 6271 39325441 2.8070 19656261
3 6271 39325441 2.9520 19656239
4 6271 39325441 2.8390 19656257
5 6271 39325441 2.9940 19656207
1 6321 39955041 2.9320 19971015
2 6321 39955041 2.9210 19970965
3 6321 39955041 2.9900 19970987
4 6321 39955041 2.8990 19970967
5 6321 39955041 2.9770 19970959
1 6371 40589641 2.8640 20288225
2 6371 40589641 3.0050 20288215
3 6371 40589641 2.9690 20288273
4 6371 40589641 2.9500 20288205
5 6371 40589641 2.9750 20288239
1 6421 41229241 3.0000 20607973
2 6421 41229241 3.1110 20608025
3 6421 41229241 3.0140 20607979
4 6421 41229241 2.9930 20607963
5 6421 41229241 3.0420 20607991
1 6471 41873841 3.0760 20930167
2 6471 41873841 3.1080 20930225
3 6471 41873841 3.0550 20930241
4 6471 41873841 3.0660 20930213
5 6471 41873841 3.0980 20930275
